date,headline,url
03-Jan-2024,etmarkets smart talk 3 reasons to invest now we foresee december 2024 nifty target at 23000 as base case neeraj chadawar,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,nifty likely to move up after polls trade at 23500 24300,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,colgate palmolive shares decline 0 06 as sensex slides,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,srf shares gain 1 07 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,jubilant food shares down 0 9 as nifty drops,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,share price of dlf jumps as sensex drops 170 12 points,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
04-Jan-2024,tech view nifty forms inside bar candle on weekly expiry what nifty traders should do on friday,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45295.cms"
04-Jan-2024,nifty bank snaps 4 day losing streak next target seen at 49500 50000,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45295.cms"
04-Jan-2024,stock market update nifty bank index advances 1 03,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45295.cms"
04-Jan-2024,sensex rises but these stocks fell 5 or more in thursdays session,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45295.cms"
